Generation,Winner STDDev
2,0.466776172807
3,0.408852466445
4,0.37668907187
5,0.301435676249
6,0.357631275925
7,0.247388797448
8,0.220937114126
9,0.231814536558
10,0.222178194796
11,0.176064074311
12,0.14345704037
13,0.122674435338
14,0.10341382171
15,0.0984441923686
16,0.0976206508394
17,0.11514723742
18,0.10704937984
19,0.101556967695
20,0.0816364440614
21,0.067427695581
22,0.0587688271094
Generation,Winner STDDev
23,0.0552922609165
24,0.0493580194442
25,0.0466017454621
26,0.0432705722813
27,0.0384058300335
28,0.0387733290665
29,0.038140283313
30,0.0339091968927
31,0.0339413874767
32,0.0325337319822
33,0.0299457064861
34,0.0332923225567
35,0.0305886522922
36,0.0288802333602
37,0.0311137486396
38,0.0322028042955
39,0.0303111485583
40,0.0286731555705
41,0.0277500409496
42,0.0285243476224
43,0.0227382735851
44,0.0245694890296
45,0.0260730835235
46,0.0249816006282
47,0.0262400323668
48,0.0241577849532
49,0.0245588416645
50,0.0279535519637
51,0.0260798880452
52,0.0281282849317
53,0.0245547587427
54,0.0251728173775
55,0.0248928384601
56,0.0247582383541
57,0.0233137390056
58,0.0231793812279
59,0.0244471570119
60,0.0240676967864
61,0.0240697137385
62,0.0240735203793
63,0.0227433703301
64,0.0235361159745
65,0.022566669115
66,0.021350283036
67,0.0245142276437
68,0.0240227453392
69,0.024055465293
70,0.0255463993188
71,0.0244381870652
72,0.0243206338676
73,0.0232975968841
74,0.0246289288871
75,0.0232164110114
76,0.0235085017089
77,0.0229559563206
78,0.0180751022245
79,0.024079666799
80,0.0216845051979
81,0.017748346613
82,0.0192724460947
83,0.01860390844
84,0.018338180125
85,0.016331251966
86,0.0213494037369
87,0.0168510581584
88,0.0178038265768
89,0.0186353217306
90,0.0212588860878
91,0.0204317124312
92,0.0182143753383
93,0.0209933207129
94,0.0207793861568
95,0.0158393599933
96,0.0253560323577
97,0.0229727064079
98,0.0219640311028
99,0.0209176478365
100,0.0234439073729
101,0.0208579644056
102,0.0191438030046
103,0.0195054196063
104,0.0200034591179
105,0.0188158681122
106,0.0180272917971
107,0.0200809412754
108,0.0203965944099
109,0.0209981663464
110,0.0198446354433
111,0.0220110142116
112,0.0199588037747
113,0.0210048947064
114,0.0202900148823
115,0.0239536676622
116,0.0266362787675
117,0.0237968748086
118,0.0258773448171
119,0.0243602052976
120,0.0240843933717
121,0.0268945984621
122,0.0306741495375
123,0.0266384635091
124,0.0272241098324
125,0.0282602263635
126,0.027771266536
127,0.0243786987549
128,0.0236799834456
129,0.0211271037766
130,0.0230709840465
131,0.0209155707136
132,0.0230251909425
133,0.0194356902492
134,0.0195436175042
135,0.0216707305993
136,0.0226360300488
137,0.0217782936012
138,0.0250572940169
139,0.021945056313
140,0.0252087162435
141,0.0239841999032
142,0.0204824587255
143,0.0223797379805
144,0.0215002013867
145,0.0211275567928
146,0.0228078488981
147,0.0230768810297
148,0.0217555615026
149,0.0219960994995
150,0.0201512180684
151,0.0194636418031
152,0.0221983657759
153,0.0230249676818
154,0.0231116764467
155,0.0230356322338
156,0.0222173633362
157,0.0215278473908
158,0.0214535032332
159,0.0205860859036
160,0.0210860442408
161,0.0189588253349
162,0.0192099286747
163,0.0183481657762
164,0.0143065635521
165,0.0146228472782
166,0.0150116777273
167,0.0161351246725
168,0.0142159810973
169,0.0135307046473
170,0.0171714979474
171,0.0138287920508
172,0.0165500974978
173,0.0159776419834
174,0.0145296278877
175,0.0160227739787
176,0.017030943939
177,0.0146314626122
178,0.0159448624807
179,0.0145900507272
180,0.016918914642
181,0.0135480315237
182,0.0124478191388
183,0.0170344392259
184,0.0144474088164
185,0.0162462302926
186,0.0125056615728
187,0.0120381912808
188,0.0160514553621
189,0.0123664776291
190,0.0165587687377
191,0.017134142818
192,0.0147147735454
193,0.0146715044495
194,0.0148948394014
195,0.0160117444582
196,0.0180960372497
197,0.0130791904007
198,0.0174253939451
199,0.0161866162566
200,0.0187462531759
201,0.0678487392827
202,0.0786706082814
203,0.0656848426294
204,0.071419970829
205,0.0672634337161
206,0.0648147284245
207,0.0638134940163
208,0.0671337552274
209,0.0733263530683
210,0.0706491634582
211,0.0654136086182
212,0.0624823032162
213,0.059700244214
214,0.0604807689673
215,0.0518719778941
216,0.0467098757971
217,0.0421794520862
218,0.0376293947534
Generation,Winner STDDev
Generation,Winner STDDev
219,0.0339904419203
220,0.0308507832061
221,0.0288403554918
222,0.0261386734921
223,0.0234225837843
224,0.0263625298839
225,0.0256574426099
226,0.0241360432533
227,0.0228630010835
228,0.0230359577162
229,0.023278404353
230,0.0254849885265
231,0.0241321629172
232,0.0233237945316
233,0.024364946666
234,0.0205383973543
235,0.0206019882578
236,0.0214988013684
237,0.0214801787656
238,0.0215007974767
239,0.0218948449835
240,0.0208073549879
241,0.0227701300277
242,0.0240163732245
243,0.0478920630195
244,0.0499650636062
245,0.0584429755305
246,0.0663347364151
247,0.078264543525
248,0.0938354999698
249,0.108667136946
250,0.208378335127
251,0.216822555975
252,0.213842321408
253,0.208636774396
254,0.195991571071
255,0.194025665657
256,0.130829987313
257,0.082762148018
258,0.0677237913267
259,0.056635863941
260,0.0477631329399
261,0.0383925641401
262,0.0343210871875
263,0.0277356991893
264,0.0263396038589
265,0.0272360433501
266,0.024093629909
267,0.0262954193057
268,0.023169443668
269,0.0222729738411
270,0.0394456561896
271,0.040746456984
272,0.0286314678156
273,0.0424818710302
274,0.0421720161905
275,0.0410614972883
276,0.0411050927523
