Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,76,PlatVal,0.006877288413496821
CYGO,123,123,0,Weights:,-0.013,0.032,-0.036,0.048,0.08,-0.003,0.175,0.151,0.816,-0.5,-0.379,0.39,-0.169,0.157
JQOM,146,100,0,Weights:,0.009,0.027,-0.014,0.04,0.044,-0.018,0.176,0.147,0.808,-0.507,-0.374,0.384,-0.161,0.178
NGRH,120,126,0,Weights:,0.001,0.022,-0.024,0.014,0.052,0.004,0.191,0.169,0.805,-0.549,-0.378,0.401,-0.152,0.145
KWBP,153,93,0,Weights:,0.053,0.01,-0.038,0.037,0.045,-0.019,0.172,0.171,0.82,-0.547,-0.371,0.384,-0.166,0.163
MZAS,124,122,0,Weights:,0.068,0.007,-0.024,0.017,0.073,-0.015,0.171,0.131,0.81,-0.524,-0.372,0.394,-0.147,0.148
WEPB,157,89,0,Weights:,0.075,0.015,-0.036,0.048,0.045,-0.019,0.177,0.152,0.824,-0.497,-0.391,0.41,-0.149,0.176
CUXW,147,99,0,Weights:,0.031,0.004,-0.019,0.046,0.075,-0.026,0.194,0.152,0.823,-0.54,-0.39,0.397,-0.15,0.174
RBRW,152,94,0,Weights:,0.023,0.024,-0.009,0.044,0.064,0.001,0.172,0.1,0.808,-0.507,-0.381,0.397,-0.181,0.188
MXTD,163,83,0,Weights:,0.006,0.028,-0.02,0.049,0.044,-0.027,0.171,0.169,0.815,-0.526,-0.38,0.384,-0.17,0.139
KPZU,138,108,0,Weights:,0.038,0.008,-0.035,0.045,0.046,-0.006,0.19,0.12,0.807,-0.504,-0.371,0.407,-0.172,0.136
HRYR,98,148,0,Weights:,0.054,0.003,-0.04,0.04,0.068,-0.023,0.192,0.159,0.82,-0.537,-0.374,0.39,-0.163,0.195
OXVY,123,123,0,Weights:,-0.011,0.032,-0.033,0.001,0.062,-0.004,0.172,0.101,0.826,-0.526,-0.371,0.394,-0.18,0.17
EEZB,108,138,0,Weights:,0.075,0.028,-0.02,0.02,0.045,-0.001,0.192,0.123,0.818,-0.502,-0.387,0.4,-0.174,0.143
JYBM,152,94,0,Weights:,0.02,0.032,-0.026,0.043,0.059,-0.008,0.178,0.125,0.817,-0.524,-0.376,0.392,-0.184,0.166
WEVP,67,179,0,Weights:,0.029,0.004,-0.04,0.0,0.08,-0.007,0.178,0.163,0.82,-0.518,-0.37,0.406,-0.178,0.178
DOOO,122,124,0,Weights:,0.078,0.017,-0.055,0.012,0.066,-0.003,0.173,0.111,0.81,-0.52,-0.384,0.383,-0.159,0.165
XYMI,100,146,0,Weights:,0.078,0.03,-0.025,0.003,0.071,0.004,0.194,0.118,0.815,-0.54,-0.372,0.411,-0.164,0.139
FDVX,130,116,0,Weights:,0.021,0.031,-0.03,0.044,0.043,0.002,0.18,0.131,0.81,-0.528,-0.378,0.39,-0.17,0.185
JOKO,133,113,0,Weights:,0.005,0.02,-0.036,0.057,0.078,0.0,0.172,0.134,0.813,-0.516,-0.388,0.391,-0.169,0.183
GXZW,80,166,0,Weights:,0.033,0.002,-0.015,0.06,0.038,0.0,0.173,0.095,0.82,-0.525,-0.371,0.399,-0.148,0.193
NQXY,165,81,0,Weights:,0.031,0.011,-0.052,0.056,0.047,-0.015,0.176,0.095,0.803,-0.53,-0.387,0.398,-0.171,0.158
IKUC,114,132,0,Weights:,0.067,0.023,-0.015,0.029,0.067,0.002,0.181,0.123,0.826,-0.53,-0.374,0.402,-0.149,0.161
DOYI,134,112,0,Weights:,0.08,0.0,-0.043,0.057,0.048,-0.018,0.191,0.136,0.811,-0.505,-0.377,0.404,-0.181,0.155
DPDF,126,120,0,Weights:,0.055,0.004,-0.037,0.056,0.06,-0.018,0.187,0.101,0.827,-0.501,-0.39,0.4,-0.181,0.164
JDBS,152,94,0,Weights:,0.057,0.029,-0.013,0.043,0.074,-0.016,0.174,0.101,0.81,-0.545,-0.379,0.394,-0.17,0.169
UZHF,115,131,0,Weights:,0.032,0.007,-0.014,0.042,0.043,-0.001,0.193,0.106,0.803,-0.538,-0.38,0.383,-0.175,0.14
NKXN,86,160,0,Weights:,0.055,0.013,-0.042,0.022,0.049,-0.002,0.19,0.095,0.82,-0.524,-0.379,0.388,-0.181,0.189
QKVC,163,83,0,Weights:,-0.011,0.016,-0.025,0.05,0.05,-0.017,0.184,0.157,0.826,-0.513,-0.375,0.401,-0.148,0.186
CLIV,81,165,0,Weights:,0.057,0.002,-0.037,0.013,0.05,-0.02,0.172,0.167,0.803,-0.521,-0.372,0.392,-0.178,0.191
GPMC,127,119,0,Weights:,0.035,0.025,-0.041,0.013,0.07,-0.016,0.182,0.155,0.812,-0.497,-0.377,0.398,-0.148,0.166
MTYG,123,123,0,Weights:,0.036,0.006,-0.025,0.009,0.062,0.001,0.192,0.133,0.819,-0.503,-0.378,0.393,-0.177,0.188
XNSA,117,129,0,Weights:,0.056,0.01,-0.051,0.008,0.045,-0.005,0.192,0.132,0.827,-0.506,-0.37,0.409,-0.175,0.147
HYYG,154,92,0,Weights:,0.006,0.023,-0.018,0.026,0.051,-0.008,0.178,0.114,0.813,-0.53,-0.383,0.384,-0.18,0.179
UOFP,153,93,0,Weights:,0.013,0.026,-0.025,0.057,0.057,-0.005,0.193,0.139,0.813,-0.521,-0.38,0.396,-0.152,0.172
CVVJ,138,108,0,Weights:,0.071,0.025,-0.024,0.035,0.08,-0.023,0.188,0.116,0.811,-0.505,-0.391,0.384,-0.155,0.184
RJBE,153,93,0,Weights:,-0.012,0.005,-0.054,0.025,0.051,-0.014,0.194,0.144,0.816,-0.548,-0.388,0.384,-0.174,0.179
CDNM,119,127,0,Weights:,0.054,0.022,-0.019,0.041,0.077,-0.004,0.181,0.115,0.83,-0.497,-0.37,0.386,-0.18,0.175
WLVM,136,110,0,Weights:,0.018,0.014,-0.042,0.011,0.052,-0.015,0.181,0.127,0.826,-0.506,-0.378,0.41,-0.148,0.169
CCKT,86,160,0,Weights:,0.067,0.031,-0.044,0.011,0.058,-0.017,0.186,0.164,0.815,-0.521,-0.389,0.409,-0.183,0.163
MCRI,44,202,0,Weights:,-0.003,0.025,-0.051,0.048,0.064,-0.02,0.191,0.17,0.805,-0.522,-0.38,0.409,-0.171,0.193
