Generation,Winner STDDev
2,0.441356798765
3,0.371128866248
4,0.288147428834
5,0.236635948404
6,0.148387192346
7,0.108782059254
8,0.078432641772
9,0.0742276842811
10,0.0733196085195
11,0.0639187594262
12,0.0611774361382
13,0.0523296379066
14,0.049951123681
15,0.0445483825693
16,0.046208873829
17,0.0426061025473
18,0.0340015903856
19,0.027565922507
20,0.029039292279
21,0.0276494063744
22,0.0274784834949
23,0.0275926364853
24,0.0264007596698
25,0.0301888642016
26,0.031810447317
27,0.0249796918948
28,0.0264168943449
29,0.0244823391091
30,0.0233211234632
31,0.0201026783928
32,0.018677576458
33,0.0197288651584
34,0.0163827411295
35,0.0147872880909
36,0.0166166416689
37,0.0176984850066
38,0.0168424546921
39,0.00704746137402
