Generation,Winner STDDev
2,0.429576134497
3,0.336007989767
4,0.293189124108
5,0.242011599429
6,0.220514699894
7,0.203572175431
8,0.157848210876
9,0.125673851608
10,0.104172560791
11,0.0882091146546
12,0.0648600486101
13,0.056910849146
14,0.0471503617705
15,0.0434517003238
16,0.0364770663012
17,0.0337459296558
18,0.0289417269936
19,0.0291081734167
20,0.0281188496074
21,0.025581280701
22,0.0271556787524
23,0.0272894808814
24,0.029212624409
25,0.0277358381689
26,0.0252612692934
27,0.0257738120359
28,0.0292045103767
29,0.0252713504368
30,0.0245406747527
31,0.0260895514354
32,0.0258062565897
33,0.0237101655937
34,0.0247651789425
35,0.0239517110759
36,0.0267038521998
37,0.0220329428775
38,0.0210661175579
39,0.0226083693147
40,0.0210593996755
41,0.0221533579715
42,0.0174778650887
43,0.0246887208284
44,0.0222145401939
45,0.0230734723386
46,0.0183937086637
47,0.0182506743671
48,0.0225407991992
49,0.0160440808313
50,0.0174262147742
51,0.0186810542636
52,0.0120795305568
53,0.0179065376865
54,0.0163325373735
55,0.0151431043
56,0.0147996358306
57,0.0211871974723
58,0.0197769576654
59,0.0146284072507
60,0.0128051978884
61,0.0170437066903
62,0.0151892489326
63,0.0167226089505
64,0.0131075361199
65,0.0187209586158
66,0.0204186586344
67,0.0161161514992
68,0.0171365059983
69,0.0147056756054
70,0.0156581983335
71,0.0148900584065
72,0.0157622785905
73,0.01708537804
74,0.0140852865343
75,0.0188786757707
76,0.0161887531473
77,0.0128348885889
78,0.0162215753487
79,0.0117556519136
80,0.0103292174269
81,0.0145963277215
