Generation,Winner STDDev
2,0.465587912914
3,0.400802567861
4,0.370191126995
5,0.327263746367
6,0.33802769592
7,0.227519288054
8,0.203046120094
9,0.176877802998
10,0.154778116547
11,0.143614995329
12,0.135559669961
13,0.127096274702
14,0.117989172945
15,0.103840893388
16,0.0935098057025
17,0.0825009738655
18,0.0743981954475
Generation,Winner STDDev
19,0.0780801356846
20,0.125509157524
21,0.129401731967
22,0.12852222586
23,0.0850273738325
24,0.0596623076991
25,0.0487119865494
26,0.0428894692186
27,0.0554623332421
28,0.081717836748
29,0.101168795314
30,0.0958651307823
31,0.113790231616
32,0.0524000815338
33,0.0234706393005
34,0.0208972624254
35,0.0182880091392
36,0.0177229914815
37,0.0205776295836
38,0.0192366605911
39,0.0202208583011
40,0.035386637081
41,0.0359208269643
42,0.0630285740442
43,0.0919670934762
44,0.0908001862235
45,0.148401178046
46,0.148071823828
47,0.140258843112
48,0.139074507835
49,0.11035495447
50,0.0355303733333
51,0.0248763130569
52,0.0214060071387
53,0.0219675189337
54,0.0202289226929
55,0.0238179567217
56,0.039992738103
57,0.0599463453511
58,0.081575591169
59,0.0867325686739
60,0.251311007913
61,0.21128537546
62,0.164396045276
63,0.108743513915
64,0.0489401633661
65,0.0414721572597
66,0.0319805071476
67,0.0438534467272
68,0.0399849244204
69,0.0387380859633
