Agent Name,Wins,Losses,Performance
Generation:,100,PlatVal,0.35891620297703075
PYOY,51,95,0,Weights:,0.69,0.12,-0.49,0.33,-0.11,-0.38,-0.04,0.74,-0.66,-0.69,-0.72,-0.54
Raise,88,58,0,Weights:,0.7,0,0,0,0,0,0,0,-0.7,-0.8,0.1,0.3
HDNL,80,65,0,Weights:,-0.43,0.74,0.4,-0.03,-0.62,0.8,0.28,0.77,0.17,0.54,-0.07,-0.02
QFUV,2,144,0,Weights:,0.33,-0.52,-0.8,-0.39,0.7,-0.42,0.65,0.18,0.75,-0.36,-0.55,0.04
UDKF^7^0--UDKF^7^0-#87,105,41,0,Weights:,0.6017628891843195,-0.11664299782612941,-0.19672920262120894,-0.1266582119815576,-0.39271555287225046,-0.4272897518763782,-0.33037341436502166,0.19425197803648198,0.6591991511198284,-0.18495856792156695,-0.5527304765820739,0.6843155419078539
VAOJ,111,35,0,Weights:,-0.36,0.56,-0.58,-0.59,-0.65,-0.78,-0.67,0.52,0.54,-0.5,0.83,0.42
CEFD^3,89,57,0,Weights:,-0.049999999999999996,-0.58,0.42,-0.74,-0.08,0.38,0.88,0.28,-0.55,-0.11,0.62,0.64
Caller-MYJC#60,92,54,0,Weights:,0.615,0.11,0.11,0.245,-0.045,-0.05,0.23,-0.24,0.12999999999999998,-0.495,0.07,0.28500000000000003
CEFD,85,61,0,Weights:,-0.09,-0.57,0.38,-0.74,-0.13,0.4,0.88,0.26,-0.54,-0.09,0.59,0.65
UDKF^7^0--UDKF^7^0-#24,108,38,0,Weights:,0.5789654113681897,-0.14587676480186929,-0.21785054899824896,-0.151857926729208,-0.39822716841088546,-0.47762070401397044,-0.3112538127479637,0.1965226629807149,0.6695450403611902,-0.15549633093505683,-0.5138033654613539,0.684356050023198
PYOY^3-UD-HDNL#79,88,58,0,Weights:,0.11133640083251514,0.36735814998159183,0.03314442452508959,0.03536692405352368,-0.43202066601486877,0.19655409375205643,0.059660101479385094,0.6134529345482588,0.09415329010924324,0.05507289706962187,-0.35932646402157853,0.018823780552484105
PYOY^3^3-PEAF-PYOY#20,71,75,0,Weights:,0.706409150799991,-0.16429281448607072,-0.4554328634219564,0.2604738535090655,-0.23297967235823305,-0.2811754035411286,-0.07059190587617194,0.6409401913231705,-0.24067885734770245,-0.6594343415309776,-0.5558783087304618,-0.10842195660683501
PYOY-UDKF-UDKF^7^0-#38,37,109,0,Weights:,0.6755142321535822,-0.03689578363926557,-0.3389800530490174,0.10147687438155115,-0.2712391472940362,-0.37893792998453124,-0.16918302724159723,0.4885990633559414,0.03546432835653824,-0.45542512561885806,-0.6317500740257674,0.06326668739566232
CEFD-PYOY^5#15,82,64,0,Weights:,0.305,-0.235,-0.03999999999999998,-0.18,-0.11,0.0,0.395,0.485,-0.615,-0.38499999999999995,-0.08000000000000002,0.07999999999999999
UDKF^7^0--UDKF^7^0-#91,100,46,0,Weights:,0.5992234255306537,-0.1293625954040908,-0.2078648295771563,-0.16511712731473388,-0.44840083378570844,-0.43309644032502526,-0.32695016231766194,0.19166105093900127,0.6773211525814258,-0.19027966990630368,-0.541511670710752,0.6920113829587354
UDKF^7^0--UDKF^7^0-#63,100,46,1.0,Weights:,0.6199973587878047,-0.09666096055880188,-0.20422594208270306,-0.09126526916399605,-0.38119699163362375,-0.40183570042252525,-0.29415255719795813,0.18867693424224863,0.6480445700325072,-0.18105007650330657,-0.6062866645306352,0.6298589810356499
PYOY-UDKF^7^0-#89^8,39,107,0,Weights:,0.7051314335575443,0.016506074702774636,-0.3032660840504104,0.07713957850675794,-0.2118029321703943,-0.41861685171956187,-0.14784564828412836,0.4878566004568712,0.047079015133494904,-0.4355782369434018,-0.6528762047050988,0.11293812671385246
PYOY^3^3,40,106,0,Weights:,0.7,0.06,-0.42999999999999994,0.39,-0.05,-0.44,-0.04,0.6799999999999999,-0.62,-0.6499999999999999,-0.72,-0.52
PYOY^3^5,45,101,0,Weights:,0.78,0.15,-0.47,0.34,-0.030000000000000006,-0.37,-0.03,0.6699999999999999,-0.58,-0.7,-0.79,-0.5900000000000001
Raise-UDK-PEAF#49,83,63,0,Weights:,0.7265622895400157,-0.4179494129461819,-0.35446981950488404,0.050396312031371036,-0.39017480505135604,-0.026506703461054673,-0.08530209579650544,0.4187647542357445,0.13181420645822073,-0.6998319624669966,-0.19215285889687958,0.5011329013382784
UDKF^7^0--UDKF^7^0-#69^5,108,38,0,Weights:,0.6298184130154549,-0.1717344277910888,-0.2398724966868758,-0.07603804884478453,-0.45003716761246315,-0.513046505898237,-0.29311078844591965,0.2814827102422715,0.6997267582826316,-0.140060811843723,-0.6013527513295415,0.6912983151152732
PYOY^0^0,45,101,0,Weights:,0.71,0.059999999999999984,-0.45,0.37,-0.12000000000000001,-0.36,-0.04,0.74,-0.7000000000000001,-0.6799999999999999,-0.76,-0.49
PEAF-PYOY-PYOY-UDKF#51,104,42,0,Weights:,0.6992274523999731,-0.22787844345821215,-0.4562985902658692,0.11142156052719654,-0.3489390170746992,-0.2735262106233858,-0.15177571762851583,0.5578205739695113,0.10296342795689264,-0.563303024592933,-0.4926349261913856,0.234734130179495
Raise-PYOY-UDKF#14^5,83,63,0,Weights:,0.692818301599982,0.01641437102785858,-0.17086572684391282,0.060947707018131035,-0.15595934471646614,-0.21735080708225715,-0.09118381175234389,0.2518803826463409,-0.4063577146954049,-0.6338686830619553,-0.29675661746092374,0.21315608678632997
URGT,86,60,0,Weights:,-0.88,0.04,0.23,0.62,-0.34,0.74,0.03,-0.26,0.86,-0.63,-0.31,0.69
