Generation,Winner STDDev
2,0.47345128388
3,0.409362743304
4,0.369824549847
5,0.33705118979
6,0.345750189833
7,0.284618591113
8,0.24429320981
9,0.124358465884
10,0.0760232035528
11,0.0667247178798
12,0.0562350071065
13,0.0503734485764
14,0.0456792341444
15,0.0476577168099
16,0.0451627957179
17,0.0591402141726
18,0.0861194133459
19,0.122022988341
20,0.152602557348
21,0.164208312284
22,0.209132066612
23,0.225980141796
24,0.216566055533
25,0.185911759643
Generation,Winner STDDev
26,0.167241008178
27,0.0387434355539
28,0.0316125437513
29,0.027481749281
30,0.0253747702597
31,0.0238449000085
32,0.0249829374592
33,0.0230963025497
34,0.0248328551833
35,0.0243251156715
36,0.0191616180554
37,0.023416285581
38,0.0208215495625
39,0.0156824694568
40,0.018491171802
41,0.0302833224608
42,0.0130882133616
43,0.0326855469503
44,0.0257207431089
45,0.0260944974106
46,0.0469155910561
47,0.0476252673842
48,0.0585506526437
49,0.0783539791205
50,0.0846886811465
51,0.0917766186784
52,0.0858737729186
53,0.0480351773063
54,0.030239327819
55,0.0403015627663
56,0.0546288491437
57,0.068807548514
58,0.192821695929
59,0.250678244127
60,0.254972846788
61,0.225227990722
62,0.21819301508
63,0.212074455133
64,0.210969962423
65,0.17915707622
66,0.0983050759463
67,0.073056062372
68,0.0605017912273
69,0.0504772848151
70,0.0412558724577
71,0.032648168274
72,0.0281834202036
73,0.0252420955076
74,0.0219001902768
75,0.0206827356282
76,0.0215011214772
77,0.0164151007074
78,0.0221920423485
79,0.0164946240632
80,0.0179486069198
81,0.0124296449837
82,0.0339814759852
83,0.0310386448327
84,0.0309803897059
85,0.0375710820191
86,0.0403070026232
87,0.0603637833822
88,0.0776943169195
89,0.087140299431
90,0.0901668732531
91,0.0972250909705
92,0.0964255836877
93,0.0917452183191
94,0.0546948606322
95,0.0171627324271
96,0.0159610702322
97,0.0152464247027
98,0.00821797587028
99,0.0144463963536
100,0.00612103588776
101,0.0112028602858
102,0.0108961671435
103,0.00711529108807
104,0.0153338926506
105,0.00705405746653
106,0.0180449379127
107,0.00972039980619
108,0.00673953403431
109,0.0152847265327
110,0.00814810751117
111,0.0165812395238
112,0.0145144618767
113,0.0107918720538
114,0.0221986739303
115,0.0173030887224
116,0.0290479417058
117,0.0236759623423
118,0.0356351050043
119,0.0315914097701
120,0.0240087522439
121,0.0335389026646
122,0.0365152635904
123,0.0373154672921
124,0.0427847024028
125,0.0412079017393
126,0.0643313081858
127,0.0878025609409
128,0.0920144298851
129,0.0948295651867
130,0.113876377966
131,0.112092896889
132,0.11343578326
133,0.120031982593
134,0.0678672841606
135,0.0521890278572
136,0.0412266827295
137,0.0363791208383
138,0.0297686334501
139,0.0292342009955
140,0.0262442129803
141,0.0266520731938
142,0.0273446042869
143,0.0245350186297
144,0.0235652758566
