Agent Name,Wins,Losses,Performance
Generation:,31,Num Of Bots,192,PlatVal,0.016463138672852682
WtX1-LOmg-Ca-WtX2-WtX2-Wt#94,331,271,0,Weights:,0.4579049695493164,0.03719177432952881,0.03964004314294434,0.05635316302386474,-0.02440989408105469,-0.0746725003305359,0.5501742322492066,0.032381953339019776,-0.471693387352478,0.7035543708113708,-0.27314998194375606,-0.4759009403329163,-0.4575511613268128,-0.4246055630262756,0.03154387404989624,-0.019194206456451417,0.042232534618255615,-0.21582692101309203,-0.0223200634765625,-0.020206170654296876,-0.0046986376953125,0.03369114135742187,-0.006919569091796874,-0.0281354345703125
Omeg-G3Dy^1--WtX1-LOmg-Ca#93,317,285,0,Weights:,0.4971462562490234,0.03338973747497559,0.03190601996069336,0.059632824588745116,-0.029712721902832032,-0.0747239856732788,0.5255887189085693,0.002081309507141113,-0.5045038745130614,0.7051766339454956,-0.3060696889651489,-0.4535003578147583,-0.4677184838508911,-0.4319652254338989,0.03176896384637451,-0.024739824516906737,0.021653787428405763,-0.1959517339446411,-0.024682467041015625,-0.019962655029296873,0.005946871337890623,0.027744083251953128,-0.015122142333984373,-0.03385929443359375
Omeg-G3Dy^1--WtX2-WrtH-G3#78,320,282,0,Weights:,0.46864795067797854,0.020234435857086182,0.02430054482769775,0.04394230822610473,-0.03910366559094239,-0.0604517842335968,0.5228269723744812,0.024579908076400758,-0.4900259274674378,0.6909160920454255,-0.2908066908998871,-0.4547302870903168,-0.448122061816391,-0.4117994707551117,0.0028635540557403563,-0.023754259642257688,0.023332476236892698,-0.21265659767741396,-0.02983547897338867,-0.020379332427978514,0.008149572601318359,0.0442493132019043,0.002770741271972658,-0.02600125015258789
WtX1-LOmg-Ca-MG3d-WtX1-LO#60,336,266,1.0,Weights:,0.47457062824609375,0.04040780490136719,0.030019497466796875,0.04777188004296875,-0.03212799438769531,-0.07520520732812501,0.5525706058916016,0.048646756477539056,-0.4592417163935547,0.7013721059687501,-0.2679561483183594,-0.48347755742187504,-0.45450238034277346,-0.4239723148554687,0.030582596557617185,-0.027012536620117187,0.03865577656542969,-0.21339172806933593,-0.01191749755859375,-0.00466266357421875,-0.00655610107421875,0.031788742675781245,0.00428583251953125,-0.0157716943359375
Omeg-G3Dy^1--WtX1-LOmg-Ca#75,319,283,0.0,Weights:,0.47553987138378906,0.02068553562463379,0.03330032891040039,0.036016594337036134,-0.038020985905761716,-0.06436546204595947,0.5393757969893799,0.03396462601092529,-0.5077858146842041,0.6962856425862427,-0.2961784928810425,-0.4629188984728394,-0.43511596765545657,-0.3947655367501831,0.023244674832336422,-0.0019568160289916998,0.022942811965148927,-0.1966148021149292,-0.02779350830078125,-0.018961569824218746,0.013176274414062501,0.03915978515625,0.012090317382812502,-0.0205263916015625
MG3d-WtX1-LO-WtX1-WtX2-Wr#77,324,278,0,Weights:,0.45182943691369626,0.022079746688354492,0.02947347037084961,0.03594255028201294,-0.030401423542144777,-0.05306232077339172,0.5354813608195801,0.014034414251113892,-0.4845284197181396,0.7149855721982574,-0.3063603393483124,-0.4894842609911957,-0.4692087091377716,-0.4018788988703461,0.008600055416915895,-0.030486932897842406,0.04305285869621277,-0.20691701128797912,-0.029407364959716797,-0.023803621520996097,-0.014149537200927733,0.037043267974853515,0.009068830566406252,-0.04026379592895508
Cal9,0,0,0,Weights:,1,-0.00688,-0.02755,0.052426,-0.2474,-0.11463,0.37808,-0.46699,-0.89842,0.577757,-0.34341,-0.34341,-0.34341,-0.34341,-0.09206,-0.09206,-0.09206,-0.09206,0,0,0,0,0,0
WtX1-WtX2-Wr-WtX2-WtX2-Wt#18,314,288,0.0,Weights:,0.47157090034375004,0.04039863674389649,0.045763828696777344,0.05349964025463867,-0.0275231438125,-0.0779262852791748,0.5601568413522949,0.035533233448852536,-0.4786911021384277,0.7109106414281006,-0.26404784739904785,-0.4619478534302979,-0.4575488798150635,-0.4220999925377197,0.04398868257263183,-0.024352769909790038,0.04234037112145996,-0.19861443197229003,-0.0130211572265625,-0.013472802734375,0.004115723876953123,0.03122662841796875,-0.014796647949218748,-0.025993227539062504
WtX1-LOmg-Ca-Omeg-G3Dy^1-#94,314,288,0.0,Weights:,0.47612598152734376,0.03609726965649414,0.0390804120883789,0.058155102501708994,-0.027078273720214843,-0.08222816418884278,0.5401549109099121,0.024663625722290035,-0.486599053748291,0.7038313835223389,-0.2857096184395752,-0.4576663791983643,-0.458596778557251,-0.4210558559874268,0.04265359310437011,-0.029627915673950195,0.03382504877624512,-0.1956568883145752,-0.017084111328125002,-0.01672247802734375,0.011649243164062496,0.036627607421875,-0.013076464843749998,-0.02451357421875
WtX1-LOmg-Ca-Omeg-G3Dy^1-#92,308,294,0,Weights:,0.4798375137841797,0.0292068888236084,0.02757462100952148,0.05676188792712402,-0.032677463762695313,-0.07396416162176514,0.5281745227254638,0.010169465622619629,-0.48611328654724123,0.7055881420736694,-0.29924634180181886,-0.46875279166998296,-0.46158326301519775,-0.4288729672949829,0.030105072978454592,-0.026747449780334474,0.025063502871032713,-0.19423065615728757,-0.023916385498046876,-0.012458441162109373,0.0006297827148437482,0.026287115478515623,-0.008276488037109373,-0.03158532470703125
