Generation,Winner STDDev
2,0.462653139922
3,0.400417507363
4,0.365020535262
5,0.326101639221
6,0.322304752489
7,0.238005207531
8,0.178033170771
9,0.096969032014
10,0.0723995814031
11,0.065976402717
12,0.0507162942342
13,0.0424511308393
14,0.0347918170913
15,0.0301105974784
16,0.0268492068638
17,0.0235706408594
18,0.0224855437317
19,0.0210002972889
20,0.0265589001495
21,0.0274795263127
22,0.0350393748746
23,0.0474899929765
24,0.0635590420498
25,0.216077224288
26,0.233806074371
27,0.218153207046
28,0.135685011082
29,0.114096917118
30,0.0777953229253
31,0.0978435271798
32,0.115265042231
33,0.128151338965
34,0.135198895307
35,0.137190188619
36,0.129937987464
37,0.130552697393
38,0.129203627984
39,0.128164778583
40,0.120726326667
41,0.130725513513
42,0.0731880504611
43,0.0639865301436
44,0.0461468329022
45,0.0385443741084
46,0.0310471206922
47,0.0248933178797
48,0.0212143709994
49,0.020283754059
50,0.0186028728486
51,0.0195047437894
52,0.0181052453271
53,0.0196328606754
54,0.0185706428475
55,0.0202214492614
56,0.0160931980631
57,0.0195057315236
58,0.0266149052067
59,0.0267167282166
60,0.0307161384562
61,0.0413963902697
62,0.0527618697869
63,0.0656443059382
64,0.295996675313
65,0.31427370989
66,0.284258515214
67,0.265299368316
68,0.164969000424
69,0.113432013613
70,0.0470265197367
71,0.0412806846763
72,0.0352305924225
73,0.0413755219321
74,0.0354012855419
75,0.0288687284456
76,0.0264427678929
77,0.0293769793719
78,0.0251903120422
79,0.0382787227971
80,0.0375280155032
81,0.0460502955041
82,0.05838549447
83,0.0732480646473
Generation,Winner STDDev
Generation,Winner STDDev
Generation,Winner STDDev
84,0.0870416844605
85,0.101067814908
86,0.160278752251
87,0.181305927984
88,0.110634598123
89,0.0702400685536
90,0.0456571488515
91,0.0339513807444
92,0.0294555301558
93,0.0252092993827
94,0.0270197154416
95,0.0253272602706
96,0.0226238881052
97,0.0210311633478
98,0.032736046223
99,0.0410108873854
Generation,Winner STDDev
100,0.0564739254554
101,0.0881142239742
102,0.0875372449179
103,0.107259940804
104,0.106544709247
Generation,Winner STDDev
105,0.110715574788
106,0.110548542881
107,0.0455363523961
108,0.0338750792888
109,0.0247585840331
110,0.0194807315371
111,0.0209199437529
112,0.0156450635881
113,0.0196606267645
114,0.0211442131131
115,0.0283460666056
116,0.0415163766214
117,0.0420285605209
118,0.0483102195097
119,0.0692898074823
120,0.0976620455994
121,0.103894325727
122,0.117671242987
123,0.117229161707
124,0.127162535996
125,0.0609540564726
126,0.0392724254061
127,0.0250412356315
128,0.0220202110447
129,0.0174221667415
130,0.0148523685468
131,0.00942292540129
132,0.0181909265505
133,0.0127225011063
134,0.00921523033259
Generation,Winner STDDev
Generation,Winner STDDev
Generation,Winner STDDev
Generation,Winner STDDev
135,0.0132873478994
136,0.0123761852775
137,0.00811846242528
138,0.0135872067927
139,0.00810076664611
140,0.0235478136032
141,0.013423300013
142,0.0126859490249
143,0.010064865843
144,0.0148952746639
145,0.01006571486
146,0.0171570232463
147,0.00966193745728
148,0.0122019431074
149,0.0301658017004
150,0.0233227483196
151,0.0317395754368
152,0.0273191541407
153,0.0382049152109
154,0.0363285892087
155,0.0342720760773
156,0.0361630786244
157,0.0365673826224
158,0.0406800163136
159,0.0495670700721
160,0.0560513417483
161,0.0725381364122
162,0.0639965114839
163,0.0935988312478
164,0.112196969071
165,0.113876434535
166,0.125950380986
167,0.082838270876
168,0.0609557153963
169,0.0524611244846
170,0.0469143413891
171,0.0429831761426
172,0.0379997811062
173,0.0335220746444
174,0.0325638263966
175,0.0305997831564
176,0.0284031114361
177,0.030066996072
178,0.0254245217391
179,0.0272128251493
180,0.0411314070918
181,0.0340963002042
182,0.0406966655872
183,0.0421283973854
184,0.040740362382
185,0.0492933923453
186,0.0484131055745
187,0.0413556257575
188,0.0360716760202
