Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,292,PlatVal,0.45657134576798913
TDXP,268,85,0.0,Weights:,-0.21237,-0.83022,-0.01036,0.74256,0.3572,0.11865,-0.21998,-0.50503,0.19619,0.66638,-0.0721,-0.08114,-0.3179,0.44824,0.88006,0.62044,-0.16911,-0.67221
ELZY-XRSU#92,264,88,0,Weights:,0.26920499999999997,0.866395,0.21461500000000003,-0.662845,0.75614,0.48821499999999995,-0.107315,-0.36195,-0.21289,0.25462999999999997,0.30490500000000004,-0.024465000000000015,-0.075355,-0.0009449999999999736,-0.45827,0.279365,0.58562,0.36859
GFKZ,109,248,0,Weights:,-0.7171,0.24751,0.0147,-0.74129,-0.10381,0.08718,0.55951,-0.27331,-0.3367,0.53612,-0.4701,-0.52667,0.05347,-0.28621,0.79885,0.53474,-0.54614,0.29759
RCXE,277,77,0.0,Weights:,0.23478,-0.22908,0.12465,-0.19336,-0.72769,0.3334,-0.07045,-0.37716,-0.18184,0.67576,-0.19999,0.09723,0.78413,-0.81256,-0.05018,0.1797,-0.455,0.24939
NSKJ,265,88,0.0,Weights:,-0.30645,-0.33199,-0.60927,-0.04469,0.39478,0.48824,-0.69957,-0.00882,0.73328,0.1199,0.01828,-0.14113,-0.15455,-0.3548,0.37951,-0.21242,-0.13525,-0.61247
KPLD,274,80,0.0,Weights:,0.50136,-0.27413,0.53418,0.26955,0.82166,0.87664,0.81932,0.20726,-0.34796,0.38754,0.78756,-0.37335,0.14341,-0.77609,-0.41573,0.78527,-0.75285,0.38218
YFNX-FCBK#45,265,86,0,Weights:,0.16268999999999997,0.56305,0.5588,0.11068,0.298705,0.439005,-0.15877000000000002,-0.019545000000000007,0.05596999999999999,-0.48691,-0.338315,0.337275,-0.12612500000000001,-0.020675,0.78062,0.34608,0.62671,-0.092085
GHFT,60,296,0.0,Weights:,-0.20073,-0.32007,0.14654,0.25595,-0.65686,0.36796,0.71519,-0.53971,0.12135,-0.43644,-0.28002,0.74267,0.75734,0.88881,0.59075,-0.2448,0.41705,0.33885
EAUU-ZIRN#14,197,156,0,Weights:,0.462075,0.00046000000000001595,-0.51945,-0.47154,-0.17390000000000003,0.59249,-0.30969,-0.6941649999999999,0.21730500000000003,0.255805,-0.5924050000000001,-0.70615,-0.22593500000000002,0.035485000000000044,0.04582999999999998,-0.65839,0.522995,-0.042480000000000004
IZWQ,191,163,0.0,Weights:,0.24375,-0.42666,0.83594,0.82873,0.718,0.76734,-0.26963,0.70377,0.54789,-0.28274,0.88332,-0.5739,-0.49829,-0.23955,-0.24609,-0.50883,0.10398,-0.6139
WZMF-ADMR#35,263,91,0,Weights:,0.42413500000000004,-0.21523,0.42203999999999997,-0.22127000000000002,-0.22912000000000002,0.633745,-0.15107000000000004,0.16158,-0.246965,0.42801999999999996,0.13760999999999998,0.150595,-0.45559,0.37831000000000004,-0.23462000000000002,0.38506500000000005,-0.60919,0.57517
VOYQ,103,254,0.0,Weights:,0.34318,-0.35805,0.76618,-0.82891,0.03569,-0.36763,0.42129,-0.24326,-0.46255,0.4693,0.43512,0.50317,0.89571,-0.57559,-0.16938,-0.60897,-0.59613,0.00402
