Generation,Winner STDDev
2,0.467270503411
3,0.442991577063
4,0.36400110019
5,0.267383086506
6,0.263579129601
7,0.233250814606
8,0.243882115104
9,0.233942330637
10,0.226496168162
11,0.207348814553
12,0.191966641573
13,0.147789879207
14,0.117282120966
15,0.0674384694109
16,0.0771895325401
17,0.0728083070605
18,0.0671575761017
19,0.0629369576594
20,0.0584113147408
21,0.0666134948574
22,0.0652385030408
23,0.0576419110354
24,0.0271662111912
25,0.0277869725978
26,0.0276870396134
27,0.0286335127677
28,0.0286907493095
29,0.0264285050042
30,0.0222969989956
31,0.022572025399
32,0.0239282390745
33,0.0247701648192
34,0.0227774427114
35,0.0239586262183
36,0.0269845582608
37,0.0285517480861
38,0.0220944484728
39,0.0236710672125
40,0.0235865413362
41,0.0262749041831
42,0.0259864090699
43,0.022507404278
44,0.0226133940324
45,0.0213332193784
46,0.0233684902669
47,0.0248715845957
48,0.0258021411337
49,0.0291736377234
50,0.0286043346451
51,0.0336674989767
52,0.0312629250631
53,0.0290478918165
54,0.0268698818578
55,0.0251439511582
56,0.0261254290719
57,0.0245678149213
58,0.0189848976768
59,0.0222524167552
60,0.0209587125841
61,0.0209211141065
62,0.0210737917958
63,0.0228444396238
64,0.0224724233597
65,0.0244105031078
66,0.0243898762099
67,0.0239277260957
68,0.0253896570995
69,0.0251268222544
70,0.0285981132398
71,0.0264349045066
72,0.0327759894186
73,0.0292750400683
74,0.02859124326
75,0.0242595416318
76,0.0268532610319
77,0.025898244787
78,0.0261821998679
79,0.0253368827422
80,0.0252025079856
81,0.0273142721786
82,0.0238151891417
83,0.0225136081237
84,0.0243990007315
85,0.0231169113587
86,0.0258310649625
87,0.0232678352539
88,0.0229467894703
89,0.0237851321008
90,0.0227498280887
91,0.0242529320931
92,0.0912587767571
93,0.130527481876
94,0.142173858454
95,0.134180559401
96,0.319084005971
97,0.0769126942371
98,0.070362117699
99,0.0555366565303
100,0.107407796542
101,0.121637885345
102,0.297602178036
103,0.333883921926
104,0.345155528341
105,0.269767079463
106,0.246686326998
107,0.25448440345
108,0.242891588374
109,0.248357981028
110,0.26194156284
111,0.287021256702
112,0.251172633198
113,0.278622715572
114,0.250029060351
115,0.226497202912
116,0.0404799127023
117,0.0583795421638
118,0.0625199173215
119,0.0581695140173
120,0.113373910486
121,0.0488757978429
122,0.0489590175851
123,0.205150109371
124,0.133114503944
125,0.187617408342
126,0.218109812507
127,0.219893994664
128,0.18492145847
129,0.181511368925
130,0.208946921044
Generation,Winner STDDev
131,0.0265736477554
132,0.0205009562582
133,0.0213895105047
134,0.0182657080483
135,0.0170427973762
136,0.0151003901108
137,0.0151687162766
138,0.0127460244483
139,0.0158778122189
140,0.0159355381058
141,0.0120148040488
142,0.0173372173088
143,0.016793927396
144,0.0119638834135
145,0.00845176029097
